time,FluxChecker-I,FluxChecker-V
0,0,0
1e-09,0.62767273197347,0.28757192686315
3e-09,1.8830162928415,0.86271577668253
7e-09,4.3936957471572,2.0130035344572
1.5e-08,9.4150245044273,4.3135790271912
3.1e-08,19.457560856025,8.9147299944122
6.3e-08,39.542153653032,18.117031760084
1.27e-07,79.709392617983,36.521636167495
2.55e-07,160.03611275078,73.33084307612
5.11e-07,320.65854005859,146.94925684581
1.023e-06,641.77938281974,294.1860836226
2.047e-06,1283.5252773436,588.65972496948
4.095e-06,2565.0349456894,1177.6068125626
8.191e-06,5120.1182156816,2355.4978756968
1.6383e-05,10198.231269341,4711.2305391598
3.2767e-05,20219.998357675,9421.9154205602
6.5535e-05,39622.599837003,18831.183334694
0.000131071,74486.940691997,37472.294797081
0.000262143,119318.65870727,72662.197135927
0.000524287,136211.78992841,129546.76312304
0.001048575,117748.15463612,205814.26628474
0.002097151,90428.530597643,302347.33444858
0.004194303,62474.064443311,433101.68488025
0.008388607,35711.308872999,637311.13359063
0.016777215,16030.038628861,999124.44154694
0.026777215,8220.9073813106,1413620.3296021
0.036777215,4998.3550839973,1820850.6553042
0.046777215,3363.0050201788,2224183.2965906
0.056777215,2419.0423348665,2625185.5705968
0.066777215,1824.4691149957,3024675.5082353
0.076777215,1425.5797784626,3423121.5766047
0.086777215,1144.8796355064,3820812.0002526
0.096777215,939.81245209238,4217934.3933004
0.106777215,785.41118665794,4614616.5401106
0.116777215,666.23485130497,5010948.7757453
0.126777215,572.31341010875,5406996.9774652
0.136777215,496.97409020265,5802810.468554
0.146777215,435.61317887802,6198427.0218146
0.156777215,384.97062574367,6593876.1359726
0.166777215,342.68511388266,6989181.2455883
0.176777215,307.01210753431,7384361.2501628
0.186777215,276.6400167974,7779431.5967942
0.196777215,250.56729107919,8174405.0619869
0.206777215,228.01839774943,8569292.3270125
0.216777215,208.38522892264,8964102.4078708
0.226777215,191.18550287435,9358842.9815466
0.236777215,176.03274896101,9753520.6368323
0.246777215,162.61432952682,10148141.069579
0.256777215,150.6751292005,10542709.236381
0.266777215,140.00530016345,10937229.476799
0.276777215,130.43094996263,11331705.611542
0.286777215,121.80699088959,11726141.02173
0.296777215,114.01159575757,12120538.713927
0.306777215,106.94186035076,12514901.373492
0.316777215,100.51038138264,12909231.408778
0.326777215,94.642535516988,13303530.988018
0.336777215,89.274299952604,13697802.070311
0.346777215,84.350494744847,14092046.43168
0.356777215,79.823356096396,14486265.687326
0.366777215,75.651371230932,14880461.310472
0.376777215,71.798321433038,15274634.648596
0.386777215,68.232491790001,15668786.937411
0.396777215,64.926015255607,16062919.312891
0.406777215,61.854325549125,16457032.821809
0.416777215,58.995698725071,16851128.430846
0.426777215,56.330867368413,17245207.034584
0.436777215,53.842694534675,17639269.462484
0.446777215,51.515897113339,18033316.485147
0.456777215,49.336810208389,18427348.819744
0.466777215,47.293185745842,18821367.134822
0.476777215,45.374019731796,19215372.054666
0.486777215,43.569403598566,19609364.16309
0.496777215,41.870395871592,20003344.006907
0.506777215,40.268911045868,20397312.098946
0.516777215,38.757623080369,20791268.920865
0.526777215,37.329881355823,21185214.925596
0.536777215,35.97963728769,21579150.539604
0.546777215,34.701380077445,21973076.164921
0.556777215,33.490080325704,22366992.180942
0.566777215,32.341140424899,22760898.946129
0.576777215,31.250350816695,23154796.799502
0.586777215,30.213851333816,23548686.062035
0.596777215,29.228096962805,23942567.037897
0.606777215,28.289827458299,24336440.015623
0.616777215,27.396040321771,24730305.269144
0.626777215,26.54396672531,25124163.058771
0.636777215,25.731050020048,25518013.632082
0.646777215,24.954926515343,25911857.224728
0.656777215,24.213408260077,26305694.061186
0.666777215,23.504467590228,26699524.355461
0.676777215,22.826223239085,27093348.311714
0.686777215,22.176927831751,27487166.124868
0.696777215,21.554956608629,27880977.981147
0.706777215,20.958797242025,28274784.058583
0.716777215,20.387040625685,28668584.52749
0.726777215,19.838372533021,29062379.5509
0.736777215,19.311566051778,29456169.28498
0.746777215,18.80547471288,29849953.879392
0.756777215,18.319026242274,30243733.47767
0.766777215,17.851216871772,30637508.217529
0.776777215,17.401106152533,31031278.231184
0.786777215,16.967812220826,31425043.645634
0.796777215,16.550507471922,31818804.582933
0.806777215,16.148414610722,32212561.138961
0.816777215,15.760802984446,32606313.472431
0.826777215,15.386985189025,33000061.674516
0.836777215,15.026314690799,33393805.835613
0.846777215,14.67818156967,33787546.063626
0.856777215,14.34201141303,34181282.455754
0.866777215,14.017262207881,34575015.105721
0.876777215,13.703422368715,34968744.108778
0.886777215,13.400008357926,35362469.544292
0.896777215,13.106563570107,35756191.499247
0.906777215,12.822655838187,36149910.055002
0.916777215,12.547876239192,36543625.29015
0.926777215,12.281837643128,36937337.277735
0.936777215,12.024172830482,37331046.094708
0.946777215,11.77453420284,37724751.850065
0.956777215,11.532591785468,38118454.532262
0.966777215,11.29803229587,38512154.250265
0.976777215,11.070558343905,38905851.068407
0.986777215,10.849887341171,39299545.048999
0.996777215,10.635750650001,39693236.25242
1.006777215,10.427892763679,40086924.699534
1.016777215,10.226070560015,40480610.524037
1.026777215,10.030052614319,40874293.718924
1.036777215,9.8396182049026,41267974.366776
1.046777215,9.6545574338542,41661652.544704
1.056777215,9.4746700328733,42055328.206915
1.066777215,9.2997647814486,42449001.500447
1.076777215,9.1296594303677,42842672.45806
1.086777215,8.9641798502534,43236341.061777
1.096777215,8.8031598460334,43630007.446928
1.106777215,8.6464405855152,44023671.591228
1.116,8.5055828230619,44386737.716092

