time,FluxChecker-I,FluxChecker-V,SIADensity,Swelling
0,0,0,0,0
1e-09,0.34959130229701,0.0023250750544093,0.055022809911086,7.7024032468943e-12
3e-09,1.0437542343894,0.0007865864396871,0.16455103795661,2.3009274488819e-11
7e-09,2.4342730639856,0.00033654341473831,0.38379885601759,5.3664587765843e-11
1.5e-08,5.2158868557459,0.0001570199947257,0.82234948659131,1.1498661334611e-10
3.1e-08,10.779265620826,7.5974831614962e-05,1.6994693932592,2.376350315524e-10
6.3e-08,21.905814697113,3.7384718859674e-05,3.4537023296418,4.8293355693249e-10
1.27e-07,44.15758816145,1.8545848463541e-05,6.9621346526515,9.7352938760417e-10
2.55e-07,88.654430153979,9.2374230676302e-06,13.979151827357,1.9547042669627e-09
5.11e-07,177.61113262981,4.6108419118615e-06,28.016288216397,3.9169160688406e-09
1.023e-06,355.29603937714,2.3049388211346e-06,56.122934150414,7.8402339078405e-09
2.047e-06,709.11379602431,1.1548789765968e-06,112.62316105113,1.5678043592398e-08
4.095e-06,1405.6120144814,5.8265008477443e-07,227.96383598994,3.1283795179364e-08
8.191e-06,2719.4213831182,3.0122886149001e-07,475.70592174195,6.1958173887648e-08
1.6383e-05,4861.4264414154,1.6864562623903e-07,1061.4609438753,1.1957065248848e-07
3.2767e-05,7207.4505862502,1.1400927600057e-07,2375.8552251055,2.150066097858e-07
6.5535e-05,8280.0200547532,9.9996100232146e-08,4201.6296776096,3.4280153123343e-07
0.000131071,7877.0892587306,1.0838842775833e-07,5292.4696584166,4.9093439687239e-07
0.000262143,6774.7684463558,1.3489350295435e-07,5207.5923817053,6.8097237151855e-07
0.000524287,5261.2807890986,1.8882990769239e-07,4704.4414316807,9.9264081992485e-07
0.001048575,3550.1551737283,2.976845847866e-07,4843.6378585568,1.5888917925791e-06
0.002097151,2133.4984852132,5.1027254244192e-07,6258.1067837216,2.7462543509028e-06
0.004194303,1195.9469390082,9.2093819656227e-07,9659.2117809394,4.9840551304487e-06
0.008388607,642.45510859666,1.7217419640629e-06,16730.06005556,9.3486448263044e-06
0.016777215,335.73279830984,3.2999312050679e-06,31010.025050327,1.7949052001473e-05
0.026777215,214.36520071518,5.1706385594048e-06,48074.498169674,2.8142344878987e-05
0.036777215,157.55142983822,7.0364692887465e-06,65149.24694861,3.8308595535611e-05
0.046777215,124.57984399893,8.8995900888527e-06,82227.559601568,4.845971895288e-05
0.056777215,103.03589562016,1.0761021111557e-05,99307.511090293,5.8601357124022e-05
0.066777215,87.852343720671,1.2621312814969e-05,116388.34974432,6.8736577946182e-05
0.076777215,76.573160771275,1.448079291226e-05,133469.72302482,7.8867215324101e-05
0.086777215,67.863094793202,1.6339670776661e-05,150551.44151452,8.8994443931489e-05
0.096777215,60.933664597088,1.819808730298e-05,167633.39637215,9.9119056221972e-05
0.106777215,55.28920974682,2.005614138868e-05,184715.52010621,0.00010924160923762
