# Size Number Variance
1 41.9000 21.9097
2 8.2667 1.0776
3 2.6333 0.0833
4 1.6000 0.0524
5 0.5000 0.0150
6 0.4667 0.0194
7 0.1667 0.0046
8 0.0667 0.0021
9 0.0667 0.0021
10 0.0667 0.0021
11 0.1667 0.0046
13 0.1000 0.0030
14 0.0333 0.0011
16 0.0333 0.0011
17 0.0667 0.0021
20 0.0333 0.0011
21 0.0667 0.0021
25 0.0333 0.0011
27 0.0333 0.0011
30 0.0333 0.0011
36 0.0667 0.0021
