# Size Number Variance
1 45.7000 3.7848
2 7.6000 0.4880
3 2.5667 0.1971
4 1.2333 0.0415
5 0.8000 0.0342
6 0.2667 0.0199
7 0.3000 0.0292
8 0.1333 0.0039
9 0.0333 0.0011
10 0.1000 0.0030
11 0.0667 0.0021
14 0.0333 0.0011
15 0.0333 0.0011
16 0.0667 0.0021
18 0.0333 0.0011
22 0.0667 0.0021
23 0.0667 0.0021
24 0.0333 0.0011
26 0.0667 0.0021
32 0.0333 0.0011
