# Size Number Variance
1 116.9667 33.5855
2 24.2667 3.5687
3 8.7000 1.0626
4 4.4667 0.2839
5 2.3000 0.2248
6 0.9667 0.0455
7 0.9333 0.0532
8 0.4000 0.0169
9 0.5000 0.0239
10 0.2333 0.0082
11 0.2000 0.0053
12 0.1667 0.0069
13 0.1000 0.0030
14 0.1000 0.0030
15 0.1000 0.0030
16 0.0667 0.0021
17 0.0333 0.0011
18 0.0333 0.0011
19 0.1333 0.0039
23 0.0333 0.0011
25 0.0333 0.0011
32 0.0667 0.0021
50 0.0333 0.0011
52 0.0333 0.0011
69 0.0333 0.0011
70 0.0333 0.0011
78 0.0333 0.0011
84 0.0333 0.0011
97 0.0333 0.0011
113 0.0333 0.0011
154 0.0333 0.0011
172 0.0333 0.0011
