# Size Number Variance
1 111.8333 122.5935
2 21.2000 4.9387
3 6.1333 0.4350
4 2.5000 0.1350
5 1.7000 0.0692
6 1.0667 0.0421
7 0.8000 0.0209
8 0.4667 0.0150
9 0.1333 0.0039
10 0.3333 0.0096
11 0.0667 0.0021
12 0.1000 0.0030
14 0.0667 0.0021
18 0.0333 0.0011
19 0.0333 0.0011
21 0.0333 0.0011
22 0.0333 0.0011
24 0.0333 0.0011
25 0.0667 0.0021
27 0.0333 0.0011
28 0.0333 0.0011
29 0.0333 0.0011
36 0.0667 0.0021
37 0.0333 0.0011
41 0.0667 0.0021
43 0.0333 0.0011
46 0.0333 0.0011
47 0.0333 0.0011
48 0.0667 0.0021
50 0.0333 0.0011
51 0.0333 0.0011
53 0.0667 0.0021
65 0.0333 0.0011
67 0.0333 0.0011
73 0.0333 0.0011
85 0.0333 0.0011
87 0.0333 0.0011
89 0.0333 0.0011
90 0.0333 0.0011
99 0.0333 0.0011
106 0.0333 0.0011
108 0.0333 0.0011
113 0.0333 0.0011
123 0.0333 0.0011
150 0.0333 0.0011
185 0.0333 0.0011
