# Size Number Variance
1 60.1333 20.9616
2 12.8000 0.8098
3 4.5333 0.2772
4 1.8333 0.0535
5 0.8000 0.0320
6 0.3667 0.0144
7 0.3000 0.0092
8 0.3333 0.0074
9 0.2000 0.0076
10 0.1667 0.0046
11 0.1667 0.0046
12 0.1000 0.0052
14 0.1000 0.0030
16 0.0333 0.0011
17 0.0667 0.0021
18 0.0333 0.0011
19 0.0333 0.0011
21 0.0667 0.0021
24 0.0333 0.0011
25 0.0333 0.0011
30 0.0667 0.0021
31 0.0333 0.0011
38 0.0333 0.0011
48 0.0333 0.0011
65 0.0333 0.0011
96 0.0333 0.0011
100 0.0333 0.0011
