# Size Number Variance
1 64.5000 5.2639
2 11.1667 0.6780
3 4.2333 0.2660
4 2.0667 0.0599
5 0.9667 0.0566
6 0.6000 0.0302
7 0.2000 0.0076
8 0.1333 0.0039
9 0.3000 0.0137
10 0.0333 0.0011
11 0.0333 0.0011
12 0.1000 0.0052
13 0.0667 0.0021
14 0.0333 0.0011
16 0.0333 0.0011
17 0.0333 0.0011
22 0.0333 0.0011
24 0.0667 0.0021
25 0.0333 0.0011
29 0.0333 0.0011
30 0.0333 0.0011
32 0.0333 0.0011
34 0.0333 0.0011
55 0.0333 0.0011
75 0.0333 0.0011
103 0.0333 0.0011
162 0.0333 0.0011
