time,FluxChecker-I,FluxChecker-V,SIADensity,Swelling
0,0,0,0,0
1e-09,0.76756183815174,0.0020256981757144,7.4600505709718e-97,1.5933905013729e-11
3e-09,2.2981821177658,0.00067970736721486,4.3378368673358e-90,4.7716301196205e-11
7e-09,5.3613812844518,0.00029106783751109,2.2197479399645e-84,1.1131754201779e-10
1.5e-08,11.488266159451,0.0001358181852505,6.4832472409248e-79,2.3852985042439e-10
3.1e-08,23.742066437071,6.5717740888088e-05,6.4748704468983e-74,4.9295812913114e-10
6.3e-08,48.248985161598,3.2337796093532e-05,8.5875875449813e-69,1.0018152146834e-09
1.27e-07,97.259038191933,1.6042348041085e-05,2.1514654246747e-63,2.0195207885841e-09
2.55e-07,195.25783336334,7.9907828822616e-06,3.1618725254053e-58,4.0548567742556e-09
5.11e-07,391.12188079454,3.9892100674168e-06,5.2408432795665e-53,8.1249232358772e-09
1.023e-06,781.93188834493,1.9954343184674e-06,9.7003155146334e-48,1.6260212043516e-08
2.047e-06,1556.8657323662,1.0022798562732e-06,3.5427057273203e-42,3.2492234219166e-08
4.095e-06,3057.5187800473,5.1051751208214e-07,3.372642248566e-36,6.4654329277416e-08
8.191e-06,5724.5471806057,2.7298597451584e-07,3.3649002436605e-29,1.2674619840025e-07
1.6383e-05,9364.0452650135,1.6737915143908e-07,2.7378804220763e-20,2.3711568786264e-07
3.2767e-05,12050.175306379,1.3064623386926e-07,4.3146758628724e-11,4.0034642992794e-07
6.5535e-05,12349.966887915,1.2918769641858e-07,0.00015588285985191,5.9368747259755e-07
0.000131071,11246.114095677,1.4869522724786e-07,0.19254406575323,8.1001203630299e-07
0.000262143,9637.6482576992,1.8820245528049e-07,9.0245447866877,1.0973649821685e-06
0.000524287,7568.1765860609,2.6115242199583e-07,94.003815186156,1.5713184584398e-06
0.001048575,5268.0318379007,3.9872575726424e-07,421.18866746472,2.4394193498205e-06
0.002097151,3328.0602690918,6.5119982198602e-07,1128.2216682692,4.0283772949663e-06
0.0029360118,2584.787613545,8.4541016780028e-07,1654.1670460257,5.2497791272254e-06
0.0037748726,2124.221055293,1.033167763744e-06,2125.9372536783,6.4325057171288e-06
0.0054525942,1583.2470143098,1.3922329364231e-06,2878.9767407008,8.695889767117e-06
0.0088080374,1064.3974935605,2.0779126852336e-06,4031.3385215362,1.301812062526e-05
0.0138080374,722.27138450519,3.0676791967032e-06,5506.452011406,1.9256262209967e-05
0.0188080374,548.6693493985,4.041426554307e-06,6906.3218926077,2.5392718046572e-05
0.0238080374,443.17292650214,5.0055850915208e-06,8281.5723711591,3.1468288638714e-05
0.0288080374,372.08616739497,5.9634514562673e-06,9650.0144332942,3.7503787155536e-05
0.0338080374,320.85208627303,6.9169139266738e-06,11018.300749319,4.3511177974164e-05
0.0388080374,282.13305594016,7.8671482155614e-06,12388.882598195,4.9497927754779e-05
0.0438080374,251.82127929151,8.8149321206672e-06,13762.528080213,5.5468984852567e-05
0.0488080374,227.43457605862,9.7608044466502e-06,15139.325229979,6.1427782292348e-05
0.0538080374,207.38310527237,1.0705152297353e-05,16519.094230707,6.7376789915176e-05
0.0588080374,190.6006786563,1.1648262002851e-05,17901.564975976,7.3317836867107e-05
0.0638080374,176.34515891941,1.2590350601351e-05,19286.452368848,7.9252311096514e-05
0.0688080374,164.08381413113,1.3531586025837e-05,20673.486947068,8.5181287835091e-05
0.0738080374,153.42419209,1.447210050556e-05,22062.425512417,9.1105614490476e-05
0.0788080374,144.07071773396,1.5411999806106e-05,23453.0526091,9.7025969315093e-05
0.0838080374,135.79648847778,1.6351369568096e-05,24845.180605359,0.00010294290219428
