time,FluxChecker-I,FluxChecker-V,SIADensity,Swelling
0,0,0,0,0
1e-09,1.5334512689125,0.0020314291257171,3.8104348463127e-94,3.1835844021967e-11
3e-09,4.5958336539528,0.00067939002817241,2.2335814143651e-87,9.5421840542586e-11
7e-09,10.72255749809,0.00029104898335799,1.1397359800723e-81,2.2263047239672e-10
1.5e-08,22.976446705444,0.00013581644661467,3.3192308997878e-76,4.7705750219437e-10
3.1e-08,47.484042433763,6.5717629134105e-05,3.3260714078247e-71,9.8591479753394e-10
6.3e-08,96.497415918963,3.2337958505523e-05,1.2898098824168e-65,2.0036264299852e-09
1.27e-07,194.51356749485,1.6042723902716e-05,1.1132244556923e-60,4.0390129112138e-09
2.55e-07,390.4792027211,7.9915431438577e-06,1.7492194669055e-55,8.1094840929115e-09
5.11e-07,781.95102897442,3.9907326339176e-06,3.3712013626074e-50,1.624800489704e-08
1.023e-06,1561.529648458,1.998475781922e-06,7.791297508302e-45,3.2505703425008e-08
2.047e-06,3095.4327390501,1.0083211975297e-06,4.1599340366163e-39,6.4867937166196e-08
4.095e-06,5979.818362026,5.2228270283399e-07,9.5251981089582e-33,1.28416175227e-07
8.191e-06,10625.367407362,2.9451011760115e-07,8.9636494561533e-25,2.4737302259479e-07
1.6383e-05,15556.920679768,2.0189351314643e-07,3.4979228956897e-16,4.4267666250229e-07
3.2767e-05,17671.498658978,1.788424749308e-07,5.3152653000963e-07,6.9908925521434e-07
6.5535e-05,16850.751207284,1.9269802787128e-07,0.015080673038026,9.8428669222391e-07
0.000131071,14876.201960894,2.3329354101782e-07,2.5173628957692,1.3248656791371e-06
0.000262143,12285.685743963,3.084794306167e-07,48.946604877406,1.8326691338998e-06
0.000524287,9086.3309289372,4.50189531786e-07,313.853893161,2.7345728666508e-06
0.001048575,5988.1714678653,7.1465372095523e-07,1047.5258353103,4.3984505478796e-06
0.002097151,3650.2242167208,1.1974489171648e-06,2337.5847347293,7.4380228396969e-06
0.004194303,2113.2986194684,2.0874636952778e-06,4171.024320116,1.3046044629312e-05
0.006694303,1424.9866320529,3.1051275913929e-06,5908.1201933974,1.9458908177869e-05
0.009194303,1080.5511739689,4.1000987772944e-06,7448.9672281587,2.5729203507298e-05
0.011694303,872.50411859463,5.081227300583e-06,8897.4142211072,3.1912188979844e-05
0.014194303,732.72402393903,6.0531124976562e-06,10301.062739916,3.8036664143124e-05
0.016694303,632.12412442687,7.0184289673587e-06,11683.139386955,4.4119457622469e-05
0.019194303,556.14614333465,7.9788649729301e-06,13055.403896433,5.0171221682507e-05
0.021694303,496.67697180454,8.9355511683388e-06,14423.9350519,5.6199104972976e-05
0.024194303,448.82904403429,9.8892796136493e-06,15791.888445818,6.220812389149e-05
0.026694303,409.4783384603,1.0840625102029e-05,17160.87620338,6.8201924314184e-05
0.029194303,376.53277517679,1.1790016898694e-05,18531.6785353,7.4183232696309e-05
0.031694303,348.53753987834,1.2737783297651e-05,19904.627118752,8.0154136448591e-05
0.034194303,324.4489943161,1.3684180409419e-05,21279.810432288,8.6116266001203e-05
0.036694303,303.49863502447,1.4629411459292e-05,22657.188817215,9.2070916379343e-05
0.039194303,285.10780873185,1.5573640106911e-05,24036.656922296,9.8019131466476e-05
0.041694303,268.83235500532,1.6516999880052e-05,25418.080656789,0.00010396176362238
0.044194303,254.32558695732,1.7459600920635e-05,26801.316709916,0.00010989951662639
0.046694303,241.31288082469,1.8401535046846e-05,28186.223110285,0.00011583297752934
0.049194303,229.57383579896,1.9342879465339e-05,29572.664722712,0.00012176264038743
0.051694303,218.92949170906,2.0283699644365e-05,30960.515794447,0.00012768892440276
