time,FluxChecker-I,FluxChecker-V,SIADensity,Swelling
0,0,0,0,0
1e-09,1.5337206640001,0.0020305057429631,-5.4906974296093e-85,3.1835829409397e-11
3e-09,4.5966456532784,0.00067907962718116,-4.8473672078137e-79,9.5421835629758e-11
7e-09,10.72445337316,0.0002909160283591,-5.8043667935275e-74,2.2263047028474e-10
1.5e-08,22.9805100351,0.00013575440242265,7.9490895646418e-71,4.7705750145589e-10
3.1e-08,47.492440373738,6.5687607265794e-05,-7.6985410617321e-65,9.8591479689337e-10
6.3e-08,96.514482613983,3.2323185229179e-05,-4.033521664423e-60,2.0036264248319e-09
1.27e-07,194.54796894123,1.6035394727055e-05,-1.8299064203426e-55,4.0390128680766e-09
2.55e-07,390.54825369404,7.9878919176044e-06,-5.1507696574807e-51,8.1094837426619e-09
5.11e-07,782.08922747913,3.9889089303191e-06,-3.1624732997554e-47,1.6248002080804e-08
1.023e-06,1561.8049719234,1.9975618376159e-06,2.0487195305598e-41,3.2505680868503e-08
2.047e-06,3095.9733736543,1.0078587846073e-06,4.8800076345682e-36,6.4867757407292e-08
4.095e-06,5980.8268843408,5.2204024205573e-07,2.1152606228672e-30,1.2841476186838e-07
8.191e-06,10626.994708987,2.9436326808727e-07,1.2700814962824e-23,2.4736221795976e-07
1.6383e-05,15559.415941512,2.017284221953e-07,8.531861372514e-16,4.425831343268e-07
3.2767e-05,17681.37754938,1.7831731141738e-07,8.7078056107704e-07,6.9806950708628e-07
6.5535e-05,16907.608405839,1.9088392454778e-07,0.021413787859938,9.7782401146382e-07
0.000131071,15070.1576607,2.2804454161369e-07,3.2085642191209,1.3003914433976e-06
0.000262143,12721.462331487,2.9446113838062e-07,57.298990059758,1.7595362474794e-06
0.000524287,9759.090728323,4.1531190138069e-07,338.47315382916,2.5429220764059e-06
0.001048575,6712.1951801188,6.3510576207807e-07,1021.4301885805,3.9468482170305e-06
0.002097151,4282.8618559141,1.0211204198362e-06,2007.9534789769,6.4143056787332e-06
0.004194303,2611.7313413385,1.6949100441539e-06,3061.2038277167,1.0730642924981e-05
0.006694303,1826.3599614801,2.4344115934634e-06,3845.4994649656,1.5472669224288e-05
0.009194303,1419.9330169816,3.1374476087991e-06,4447.3151470726,1.9983706942055e-05
0.011694303,1168.6126019388,3.8165453499075e-06,4972.6637196202,2.4342659493624e-05
0.014194303,996.59900011206,4.4786234396802e-06,5464.8891336576,2.8593204676348e-05
0.016694303,870.86541957012,5.12793649828e-06,5942.8627901695,3.2762290301914e-05
0.019194303,774.62417980533,5.7673051299238e-06,6415.1438212065,3.6867820027168e-05
0.021694303,698.39926413948,6.3987039813343e-06,6885.6883877611,4.092234826703e-05
0.024194303,636.41844396136,7.0235728881547e-06,7356.3403558813,4.493504223379e-05
0.026694303,584.95559495603,7.6429959009141e-06,7827.9355400302,4.8912812338769e-05
0.029194303,541.49292527451,8.2578103837765e-06,8300.8243356713,5.2861002399986e-05
0.031694303,504.26503951025,8.8686772693141e-06,8775.1192004482,5.6783833966084e-05
0.034194303,471.99575024023,9.4761272682421e-06,9250.8198393198,6.0684700267341e-05
0.036694303,443.73853251547,1.0080593197914e-05,9727.8702723397,6.4566370575667e-05
0.039194303,418.77585677122,1.0682432679004e-05,10206.191922535,6.843113488056e-05
0.041694303,396.55344485746,1.1281944445037e-05,10685.700073276,7.2280907299484e-05
0.044194303,376.63603031458,1.1879380676625e-05,11166.309305757,7.6117304696238e-05
0.046694303,358.67683659981,1.2474956101472e-05,11647.938123764,7.9941704626472e-05
0.049194303,342.39602830237,1.3068855022427e-05,12130.510527707,8.3755290096724e-05
0.051694303,327.56519617364,1.3661236740453e-05,12613.956676019,8.7559084213634e-05
0.054194303,313.9959839332,1.4252239874326e-05,13098.212697147,9.1353977598638e-05
0.056694303,301.53162141505,1.4841985710001e-05,13583.220478523,9.5140749971817e-05
0.059194303,290.04052580909,1.5430580978602e-05,14068.927139309,9.8920087700693e-05
0.061694303,279.41140677935,1.601812003593e-05,14555.284564266,0.00010269259788254
0.064194303,269.54947437998,1.6604686692592e-05,15042.248912154,0.00010645881995152
0.066694303,260.37347120609,1.7190355694464e-05,15529.780193707,0.00011021923520139
0.069194303,251.81332543477,1.7775193966684e-05,16017.841880622,0.00011397427471854
0.071694303,243.80827822558,1.8359261648732e-05,16506.400556964,0.00011772432601296
0.074194303,236.30537682205,1.8942612964587e-05,16995.425601165,0.00012146973859273
0.076694303,229.2582524561,1.9525296952285e-05,17484.888905438,0.00012521082866275
0.079194303,222.62612165769,2.0107358099745e-05,17974.764624877,0.0001289478831547
0.081694303,216.37296502687,2.0688836872606e-05,18465.028954954,0.00013268116314834
0.084194303,210.46684730979,2.1269770171566e-05,18955.659933604,0.00013641090680601
0.086694303,204.87935106693,2.1850191738106e-05,19446.637265257,0.00014013733193568
0.089194303,199.58510265922,2.2430132487653e-05,19937.942164187,0.00014386063817656
0.091694303,194.56137305507,2.3009620809858e-05,20429.557215149,0.00014758100891102
0.094194303,189.7877400722,2.3588682835193e-05,20921.466248811,0.00015129861295192
0.096694303,185.24580145667,2.4167342655451e-05,21413.654230707,0.00015501360599595
0.099194303,180.91892982792,2.4745622526069e-05,21906.107161766,0.00015872613190893
0.101694303,176.79206257573,2.532354304598e-05,22398.811989139,0.0001624363238689
0.104194303,172.85152112546,2.5901123308011e-05,22891.756526235,0.00016614430536039
0.106694303,169.08485469066,2.647838104195e-05,23384.929380653,0.00016985019106981
0.109194303,165.48070486771,2.7055332735372e-05,23878.319889324,0.00017355408767503
0.111694303,162.02868780071,2.7631993744836e-05,24371.918059933,0.00017725609455351
0.114194303,158.71929137095,2.8208378391019e-05,24865.71451799,0.00018095630440804
0.116694303,155.54378513246,2.8784500050275e-05,25359.700458834,0.00018465480383669
0.119194303,152.49414127544,2.9360371230382e-05,25853.867604132,0.00018835167383795
0.121694303,149.56296500381,2.9936003642194e-05,26348.208162364,0.00019204699026507
0.124194303,146.74343305748,3.0511408264033e-05,26842.71479282,0.00019574082423944
0.126694303,144.02923928095,3.1086595400916e-05,27337.380572782,0.00019943324252686
0.129194303,141.41454636227,3.1661574732675e-05,27832.198967626,0.0002031243078663
0.131694303,138.89394283224,3.2236355365809e-05,28327.163803431,0.00020681407928176
0.134194303,136.46240478438,3.2810945873187e-05,28822.269241948,0.00021050261235562
0.136694303,134.11526163429,3.3385354334263e-05,29317.509757637,0.00021418995948107
0.139194303,131.84816545688,3.3959588372095e-05,29812.88011659,0.00021787617009511
0.141694303,129.65706349247,3.4533655184356e-05,30308.375357137,0.0002215612908871
0.144194303,127.53817341161,3.5107561573655e-05,30803.990772057,0.00022524536599093
0.146694303,125.48796103963,3.5681313974584e-05,31299.721892137,0.00022892843716091
0.149194303,123.5031202527,3.6254918478905e-05,31795.564471033,0.00023261054393282
0.151694303,121.58055480469,3.682838085832e-05,32291.514471284,0.00023629172377224
0.154194303,119.71736186633,3.7401706586182e-05,32787.568051372,0.00023997201221151
0.156694303,117.91081710577,3.797490085496e-05,33283.721553775,0.00024365144297224
0.159194303,116.15836110966,3.8547968597998e-05,33779.971493843,0.00024733004808608
0.161694303,114.45758706137,3.9120914501637e-05,34276.314549545,0.00025100785799676
0.164194303,112.80622948274,3.9693743023452e-05,34772.747551904,0.00025468490166102
0.166694303,111.20215397635,4.0266458405351e-05,35269.267476128,0.00025836120663947
0.169194303,109.64334784681,4.0839064686535e-05,35765.871433355,0.00026203679918073
0.171694303,108.12791151805,4.1411565715673e-05,36262.556662972,0.00026571170429965
0.174194303,106.65405066717,4.1983965163008e-05,36759.320525442,0.00026938594585116
0.176694303,105.22006901571,4.2556266528587e-05,37256.160495647,0.00027305954659515
0.179194303,103.82436168896,4.3128473155778e-05,37753.074156613,0.00027673252826376
0.181694303,102.46540913612,4.370058823567e-05,38250.059193725,0.00028040491161495
0.184194303,101.14177150367,4.4272614819263e-05,38747.11338925,0.00028407671649023
0.186694303,99.852083467765,4.4844555823349e-05,39244.234617245,0.00028774796186408
0.189194303,98.595049455625,4.5416414038628e-05,39741.420838784,0.00029141866589196
0.191694303,97.369439234194,4.5988192136396e-05,40238.670097472,0.00029508884595469
0.194194303,96.174083831806,4.6559892674245e-05,40735.980515258,0.00029875851869863
0.196694303,95.007871756603,4.7131518103224e-05,41233.350288488,0.0003024277000757
0.199194303,93.869745497313,4.7703070772986e-05,41730.777684194,0.00030609640537976
0.201694303,92.75869827669,4.827455293678e-05,42228.261036615,0.00030976464928017
0.204194303,91.673771037044,4.8845966756078e-05,42725.798743942,0.0003134324458528
0.206694303,90.614049635793,4.9417314305858e-05,43223.389265208,0.00031709980861083
0.209194303,89.578662236942,4.9988597579904e-05,43721.031117395,0.00032076675053451
0.211694303,88.566776892588,5.0559818491772e-05,44218.722872707,0.00032443328409396
0.214194303,87.577599272595,5.1130978882109e-05,44716.463155974,0.00032809942127715
0.216694303,86.610370560752,5.170208052034e-05,45214.250642223,0.00033176517361222
0.219194303,85.664365488237,5.2273125107531e-05,45712.084054387,0.00033543055218809
0.221694303,84.738890488212,5.2844114282319e-05,46209.962161112,0.00033909556767838
0.224194303,83.833281985743,5.3415049620729e-05,46707.883774717,0.00034276023035828
0.226694303,82.946904785206,5.3985932640786e-05,47205.847749254,0.00034642455012381
0.229194303,82.079150565517,5.4556764805244e-05,47703.852978656,0.00035008853650986
0.231694303,81.229436471688,5.5127547523401e-05,48201.898395003,0.00035375219870603
0.234194303,80.397203791824,5.5698282153787e-05,48699.982966875,0.00035741554557221
0.236694303,79.581916716102,5.6268970006877e-05,49198.105697783,0.00036107858565382
0.239194303,78.783061174064,5.6839612346352e-05,49696.265624686,0.00036474132719496
0.241694303,78.000143738598,5.741021039193e-05,50194.46181659,0.00036840377815221
0.244194303,77.23269059836,5.798076532119e-05,50692.693373203,0.00037206594620722
0.246694303,76.480246590425,5.855127827096e-05,51190.95942367,0.00037572783877825
0.249194303,75.742374288892,5.9121750339669e-05,51689.259125365,0.00037938946303191
0.251694303,75.018653150296,5.9692182587415e-05,52187.591662757,0.00038305082589198
0.254194303,74.308678699062,6.0262576040431e-05,52685.956246301,0.00038671193405227
0.256694303,73.612061771126,6.0832931689936e-05,53184.352111411,0.00039037279398459
0.259194303,72.928427792409,6.1403250494543e-05,53682.77851747,0.00039403341194813
0.261694303,72.257416099647,6.1973533381792e-05,54181.234746888,0.00039769379399837
