time,FluxChecker-I,FluxChecker-V
0,0,0
1e-09,0.60216995602475,0.30560137965413
3e-09,1.8065080074071,0.91680413480184
7e-09,4.2151770485086,2.1392096665042
1.5e-08,9.0324862305154,4.5840207907143
3.1e-08,18.666988531036,9.4736431469175
6.3e-08,37.935528057754,19.252888462686
1.27e-07,76.47074267187,38.81137789714
2.55e-07,153.53371267928,77.928353176447
5.11e-07,307.62997142848,156.16229114431
1.023e-06,615.70345676253,312.63019677486
2.047e-06,1231.3747846759,625.56599501307
4.095e-06,2460.8159171637,1251.4373833399
8.191e-06,4912.0855535547,2503.1768396259
1.6383e-05,9783.8892486525,5006.6029729077
3.2767e-05,19398.740029795,10012.622289514
6.5535e-05,38017.032180489,20011.738470814
0.000131071,71514.039217335,39820.208216203
0.000262143,114803.68571723,77182.282075959
0.000524287,131083.51225647,136911.47758877
0.001048575,113995.72876135,213458.99344863
0.002097151,91314.752092869,304097.84140869
0.004194303,69146.226882495,419063.29047066
0.008388607,45025.687082608,588622.01197714
0.016777215,23154.215807367,876856.77305638
0.026777215,12791.090607307,1202502.5759004
0.036777215,8087.6654469848,1521305.4430746
0.046777215,5571.9172209427,1837041.5273363
0.056777215,4070.5185279153,2151353.3687314
0.066777215,3103.0208513198,2465010.0006652
0.076777215,2443.2325720253,2778392.9855121
0.086777215,1973.257451044,3091698.6232942
0.096777215,1626.7165342903,3405029.298997
0.106777215,1363.9058660987,3718437.6974997
0.116777215,1159.8907033313,4031949.3968958
0.126777215,998.37023332965,4345574.9241784
0.136777215,868.32319082156,4659316.4075285
0.146777215,762.0813516747,4973171.3398042
0.156777215,674.17605871893,5287134.7488923
0.166777215,600.6225055034,5601200.4614547
0.176777215,538.46168344243,5915361.8402682
0.186777215,485.4591764182,6229612.2112752
0.196777215,439.90229310249,6543945.1045932
0.206777215,400.46048656269,6858354.3840674
0.216777215,366.08746504158,7172834.3087015
0.226777215,335.95134746055,7487379.5543362
0.236777215,309.38404510575,7801985.2109
0.246777215,285.84405126253,8116646.7665233
0.256777215,264.88872912479,8431360.0842921
0.266777215,246.15342556953,8746121.3755429
0.276777215,229.33555507414,9060927.1722784
0.286777215,214.18234707077,9375774.3001636
0.296777215,200.48132408546,9690659.8525632
0.306777215,188.0528367306,10005581.166328
0.316777215,176.7441631865,10320535.79959
0.326777215,166.42480947749,10635521.511152
0.336777215,156.98273921597,10950536.241941
0.346777215,148.32132862211,11265578.098202
0.356777215,140.35689165574,11580645.336227
0.366777215,133.01665649559,11895736.348554
0.376777215,126.23710172781,12210849.65173
0.386777215,119.96258098997,12525983.87501
0.396777215,114.144180312,12841137.750396
0.406777215,108.73876425459,13156310.103564
0.416777215,103.70817600714,13471499.845764
0.426777215,99.018563710429,13786705.966352
0.436777215,94.639810743702,14101927.526222
0.446777215,90.545052039685,14417163.651819
0.456777215,86.710261902856,14732413.529673
0.466777215,83.113901499125,15047676.401501
0.476777215,79.736616359683,15362951.559756
0.486777215,76.560975932925,15678238.343588
0.496777215,73.5712486549,15993536.135177
0.506777215,70.753207101599,16308844.356382
0.516777215,68.093958713632,16624162.465706
0.526777215,65.581798328435,16939489.955532
0.536777215,63.20607937155,17254826.349612
0.546777215,60.957101054215,17570171.200706
0.556777215,58.826009345357,17885524.088537
0.566777215,56.804709829336,18200884.617793
0.576777215,54.885790847706,18516252.416393
0.586777215,53.062455558926,18831627.133849
0.596777215,51.328461756386,19147008.439773
0.606777215,49.67806844568,19462396.022509
0.616777215,48.10598832958,19777789.587836
0.626777215,46.607345463831,20093188.857849
0.636777215,45.177637453621,20408593.569865
0.646777215,43.812701639284,20724003.475409
0.656777215,42.508684800031,21039418.339325
0.666777215,41.262015963039,21354837.938918
0.676777215,40.06938195801,21670262.063167
0.686777215,38.92770540726,21985690.511993
0.696777215,37.834124875667,22301123.095604
0.706777215,36.785976944285,22616559.63384
0.716777215,35.780779994305,22931999.955612
0.726777215,34.816219520548,23247443.898345
0.736777215,33.89013480947,23562891.307487
0.746777215,33.000506840144,23878342.036046
0.756777215,32.14544728126,24193795.94413
0.766777215,31.323188471451,24509252.898567
0.776777215,30.532074284865,24824712.772499
0.786777215,29.77055179299,25140175.445046
0.796777215,29.037163644562,25455640.800957
0.806777215,28.330541094056,25771108.730318
0.816777215,27.649397615935,26086579.128252
0.826777215,26.992523049604,26402051.894641
0.836777215,26.358778224714,26717526.933886
0.846777215,25.747090022904,27033004.154654
0.856777215,25.156446835342,27348483.469659
0.866777215,24.585894380818,27663964.795452
0.876777215,24.034531851589,27979448.052224
0.886777215,23.501508358162,28294933.163609
0.896777215,22.986019709341,28610420.033524
0.906777215,22.487305095342,28925908.638336
0.916777215,22.004644788976,29241398.887738
0.926777215,21.537357059933,29556890.706286
0.936777215,21.084796167645,29872384.057389
0.946777215,20.646349660968,30187878.861899
0.956777215,20.221436942129,30503375.085606
0.966777215,19.809506419227,30818872.649407
0.976777215,19.410034919263,31134371.509615
0.986777215,19.022525069154,31449871.605768
0.996777215,18.646503904318,31765372.91067
1.006777215,18.281521938309,32080875.368219
1.016777215,17.927151248414,32396378.934204
1.026777215,17.582984594222,32711883.548033
1.036777215,17.248633685305,33027389.207444
1.046777215,16.923729099893,33342895.852347
1.056777215,16.607918261694,33658403.445046
1.066777215,16.300864978731,33973911.949274
1.076777215,16.002248450973,34289421.330128
1.086777215,15.711762432453,34604931.554007
1.096777215,15.429114446187,34920442.588577
1.106777215,15.154025132574,35235954.400595
1.116,14.906785362322,35526944.780452

