time,FluxChecker-I,FluxChecker-V,SIADensity,Swelling
0,0,0,0,0
1e-09,0.38467648449124,0.0020134657320037,0.051160636182885,7.9827872682755e-12
3e-09,1.1495594103457,0.00068002007639865,0.15308256000429,2.386353378857e-11
7e-09,2.6812666665474,0.00029097270828903,0.35707603206308,5.5661073226231e-11
1.5e-08,5.7451886468987,0.00013575966766889,0.76510499191515,1.1926600495102e-10
3.1e-08,11.873152742162,6.5688083638543e-05,1.5811761568267,2.4647963643818e-10
6.3e-08,24.12882853693,3.2322981856269e-05,3.2133124183638,5.0090829840556e-10
1.27e-07,48.638680005184,1.6034836951707e-05,6.477578303277,1.0097640698097e-09
2.55e-07,97.650738522042,7.9867530341804e-06,13.006473825874,2.0274570976991e-09
5.11e-07,195.63214858252,3.9866263224597e-06,26.068981276779,4.0626917708436e-09
1.023e-06,391.3278577276,1.9930005355364e-06,52.238926630676,8.1319481773689e-09
2.047e-06,780.88886764097,9.987881184491e-07,104.96393451957,1.6260781282769e-08
4.095e-06,1546.8188454148,5.0430008039812e-07,213.50714356022,3.244186883245e-08
8.191e-06,2985.0915846877,2.6147743431207e-07,452.91556915461,6.4216654566762e-08
1.6383e-05,5296.564665261,1.476508732212e-07,1048.5022012746,1.2370813800255e-07
3.2767e-05,7745.1732485514,1.0133634305506e-07,2432.1634579379,2.2146829182232e-07
6.5535e-05,8796.6919050617,8.9688815551959e-08,4324.9794510294,3.4986610408594e-07
0.000131071,8409.2155010998,9.6131136886732e-08,5332.0671560508,4.9126170420613e-07
0.000262143,7489.6188842534,1.149960231202e-07,4988.5567981433,6.5490524809697e-07
0.000524287,6314.1844066107,1.4864483404328e-07,3950.3600932165,8.8763472600906e-07
0.001048575,4842.7816699285,2.0948487485919e-07,2992.4029416037,1.2823145077401e-06
0.002097151,3339.4961758984,3.1925800125418e-07,2497.9449791255,1.9841783584974e-06
0.004194303,2138.7641103415,5.1127373545329e-07,2397.9905246474,3.2124100852852e-06
