time,FluxChecker-I,FluxChecker-V
0,0,0
1e-09,2.5106910761239,1.1502877694412
3e-09,7.5320649320146,3.4508631878408
7e-09,17.574783218305,8.0520137655173
1.5e-08,37.660102660834,17.25431573743
3.1e-08,77.830255788204,35.658916960084
6.3e-08,158.16860887226,72.468122609159
1.27e-07,318.837577557,146.08653536034
2.55e-07,640.14445528402,293.32336279081
5.11e-07,1282.6341194139,587.79701458655
1.023e-06,2567.1167673321,1176.7442690304
2.047e-06,5134.0887776038,2354.6379912285
4.095e-06,10259.942846856,4710.412862129
8.191e-06,20477.341474845,9421.7620723553
1.6383e-05,40743.560897382,18841.277105963
3.2767e-05,80123.607826909,37630.544058737
6.5535e-05,148345.54487746,74486.949378314
0.000131071,216783.83000503,140596.51488154
0.000262143,218888.01508715,234556.5288625
0.000524287,183896.16316044,341962.60002015
0.001048575,152710.80808753,461432.50235009
0.002097151,123721.32931503,606086.85541988
0.004194303,89870.26840733,808970.43485317
0.006694303,64556.272631868,1016599.5948331
0.009194303,48665.980759965,1206745.7196211
0.011694303,38215.727501362,1384997.2423657
0.014194303,30980.770604702,1554527.1258206
0.016694303,25746.915779196,1717345.7395778
0.019194303,21822.547938097,1874810.6972831
0.021694303,18792.859687296,2027884.7899801
0.024194303,16396.9893721,2177277.8246545
0.026694303,14464.000218704,2323529.7500467
0.029194303,12877.862008272,2467062.0482801
0.031694303,11557.396309725,2608210.9055016
0.034194303,10444.306947978,2747249.4328219
0.036694303,9495.7706059707,2884403.0107465
0.039194303,8679.7001579629,3019860.1687356
0.041694303,7971.629292771,3153780.4862859
0.044194303,7352.6111717259,3286300.4505439
0.046694303,6807.7689059452,3417537.8762601
0.049194303,6325.2753521673,3547595.297099
0.051694303,5895.6219808886,3676562.6051526
0.054194303,5511.0862827734,3804519.1321385
0.056694303,5165.3380031381,3931535.3099076
0.059194303,4853.1440601316,4057674.0094314
0.061694303,4570.1446624749,4182991.6311953
0.064194303,4312.6815109329,4307539.0009606
0.066694303,4077.6645798089,4431362.1119505
0.069194303,3862.4678130414,4554502.7439769
0.071694303,3664.8467246511,4676998.9841566
0.074194303,3482.8727592315,4798885.6672768
0.076694303,3314.8805974563,4920194.7506617
0.079194303,3159.4255458802,5040955.6350284
0.081694303,3015.248847585,5161195.4406244
0.084194303,2881.2492605339,5280939.2460175
0.086694303,2756.4596328743,5400210.2955725
0.089194303,2640.0274868846,5519030.1804946
0.091694303,2531.1988404372,5637418.9975016
0.094194303,2429.3046588315,5755395.4883282
0.096694303,2333.7494547168,5872977.1630052
0.099194303,2244.0016531007,5990180.4089189
0.101694303,2159.585412944,6107020.5879135
0.104194303,2080.0736572967,6223512.122697
0.106694303,2005.0821101138,6339668.5742454
0.109194303,1934.264175926,6455502.7110877
0.111694303,1867.3065277844,6571026.5716835
0.114194303,1803.9252925528,6686251.5206028
0.116694303,1743.8627424564,6801188.2992595
0.119194303,1686.8844166531,6915847.0718981
0.121694303,1632.7766098364,7030237.467263
0.124194303,1581.344174646,7144368.6165617
0.126694303,1532.4085938067,7258249.1879759
0.129194303,1485.8062842691,7371887.4182138
0.131694303,1441.3871018617,7485291.1413773
0.134194303,1399.0130195141,7598467.8153459
0.136694303,1358.5569563497,7711424.5460527
0.139194303,1319.9017379398,7824168.1097626
0.141694303,1282.9391712387,7936704.9735627
0.144194303,1247.5692197477,8049041.3143033
0.146694303,1213.6992665961,8161183.0360541
0.149194303,1181.2434550065,8273135.7862315
0.151694303,1150.122096756,8384904.9705444
0.154194303,1120.2611408208,8496495.7668575
0.156694303,1091.591695203,8607913.1380243
0.159194303,1064.0495958395,8719161.84386
0.161694303,1037.5750174342,8830246.4522128
0.164194303,1012.1121214869,8941171.3493416
0.166694303,987.60873754312,9051940.7495655
0.169194303,964.01607405875,9162558.7042491
0.171694303,941.28845577951,9273029.1102233
0.174194303,919.38308485274,9383355.7176542
0.176694303,898.25982325495,9493542.1374096
0.179194303,877.88099435333,9603591.8479406
0.181694303,858.21120167731,9713508.2017801
0.184194303,839.21716325443,9823294.4316068
0.186694303,820.86755991719,9932953.655933
0.189194303,803.13289629963,10042488.884498
0.191694303,785.98537328444,10151903.023304
0.194194303,769.39877083675,10261198.879373
0.196694303,753.34834026855,10370379.165219
0.199194303,737.81070504987,10479446.503095
0.201694303,722.76376941636,10588403.428962
0.204194303,708.18663406247,10697252.396266
0.206694303,694.05951830227,10805995.779508
0.209194303,680.36368812276,10914635.877607
0.211694303,667.08138964184,11023174.91708
0.214194303,654.19578746831,11131615.05508
0.216694303,641.69090761475,11239958.382249
0.219194303,629.5515845145,11348206.925428
0.221694303,617.76341185022,11456362.650246
0.224194303,606.31269686753,11564427.463553
0.226694303,595.18641788957,11672403.215755
0.229194303,584.37218478289,11780291.70301
0.231694303,573.85820213413,11888094.669337
0.234194303,563.63323493395,11995813.808615
0.236694303,553.68657656756,12103450.766482
0.239194303,544.00801893671,12211007.142149
0.241694303,534.58782455175,12318484.490126
0.244194303,525.41670044442,12425884.321875
0.246694303,516.48577376929,12533208.107373
0.249194303,507.78656896544,12640457.276618
0.251694303,499.31098636421,12747633.221058
0.254194303,491.05128214397,12854737.294965
0.256694303,483.00004952921,12961770.816732
0.259194303,475.15020114799,13068735.070134
0.261694303,467.49495246894,13175631.305517
0.264194303,460.02780623743,13282460.740944
0.266694303,452.74253784682,13389224.563293
0.269194303,445.63318157594,13495923.929307
0.271694303,438.69401764242,13602559.966594
0.274194303,431.91956000537,13709133.774593
0.276694303,425.30454487576,13815646.425501
0.279,419.34049749331,13913829.629163

