time,FluxChecker-I,FluxChecker-V
0,0,0
1e-09,0.60216995602496,0.30560137965423
3e-09,1.8065080074085,0.91680413480258
7e-09,4.2151770202541,2.1392096734818
1.5e-08,9.0324862126145,4.5840207774706
3.1e-08,18.666988997289,9.4736426973594
6.3e-08,37.935524169632,19.252887687226
1.27e-07,76.470746899194,38.811372638792
2.55e-07,153.53373789651,77.928349275183
5.11e-07,307.62998534302,156.16228683186
1.023e-06,615.70347066944,312.63019246115
2.047e-06,1231.3747985351,625.56599067975
4.095e-06,2460.8159304066,1251.4373786956
8.191e-06,4912.0855573156,2503.1768300094
1.6383e-05,9783.8891042651,5006.6028841836
3.2767e-05,19398.737619996,10012.620934753
6.5535e-05,38016.99695103,20011.717694762
0.000131071,71513.600127161,39819.888586215
0.000262143,114799.23851005,77177.359850019
0.000524287,131036.72962779,136802.37008329
0.001048575,114104.94677594,212435.44149639
0.002097151,92406.42446906,300186.5038647
0.004194303,71912.612858864,408496.38485477
0.008388607,49296.596122756,562202.33333171
0.016777215,27441.379792528,811575.69257651
0.026777215,16101.076572501,1085467.4478967
0.036777215,10587.764356182,1349806.9795137
0.046777215,7497.7514904585,1609630.9486421
0.056777215,5589.5646488868,1867232.0341652
0.066777215,4327.4490549549,2123735.529403
0.076777215,3448.9090496274,2379726.4846866
0.086777215,2812.7037151144,2635520.9366242
0.096777215,2337.2100434571,2891293.0905926
0.106777215,1972.5317620525,3147139.104054
0.116777215,1686.7505956779,3403110.8221055
0.126777215,1458.6688024867,3659234.3689541
0.136777215,1273.7577627857,3915520.7542672
0.146777215,1121.7884289033,4171972.0840998
0.156777215,995.38966903149,4428585.2746423
0.166777215,889.14094092872,4685354.305388
0.176777215,798.9842149498,4942271.5995699
0.186777215,721.83285854775,5199328.8728273
0.196777215,655.30551344657,5456517.6517965
0.206777215,597.54129831124,5713829.5877149
0.216777215,547.06912234177,5971256.6392288
0.226777215,502.71372879395,6228791.1731571
0.236777215,463.52712794788,6486426.0133182
0.246777215,428.7378717608,6744154.4565702
0.256777215,397.7130557272,7001970.2687358
0.266777215,369.92952618161,7259867.6683465
0.276777215,344.95183039575,7517841.3035858
0.286777215,322.41516409937,7775886.2256451
0.296777215,302.01206310539,8033997.8608822
0.306777215,283.48192858536,8292171.9828075
0.316777215,266.60271717481,8550404.6851931
0.326777215,251.18429948607,8808692.3561535
0.336777215,237.06311505246,9067031.6543655
0.346777215,224.09784259967,9325419.4864864
0.356777215,212.1658710608,9583852.9865613
0.366777215,201.16040658677,9842329.4970602
0.376777215,190.98808792205,10100846.551548
0.386777215,181.56701062879,10359401.858775
0.396777215,172.82508196959,10617993.288264
0.406777215,164.69864475599,10876618.857075
0.416777215,157.13132105938,11135276.717888
0.426777215,150.07303657717,11393965.147998
0.436777215,143.47919410608,11652682.539445
0.446777215,137.30997066234,11911427.389891
0.456777215,131.52971755212,12170198.294393
0.466777215,126.10644652865,12428993.937882
0.476777215,121.01138821589,12687813.088311
0.486777215,116.21861140394,12946654.590334
0.496777215,111.7046938277,13205517.35963
0.506777215,107.44843662759,13464400.377665
0.516777215,103.43061598864,13723302.686875
0.526777215,99.633766535193,13982223.386282
0.536777215,96.041991925543,14241161.627488
0.546777215,92.640798811546,14500116.610964
0.556777215,89.416950930804,14759087.582661
0.566777215,86.358340590048,15018073.830889
0.576777215,83.453875210008,15277074.683438
0.586777215,80.693376949151,15536089.504949
0.596777215,78.067493714211,15795117.694478
0.606777215,75.567620103277,16054158.683218
0.616777215,73.185827034581,16313211.932442
0.626777215,70.914798989528,16572276.931579
0.636777215,68.747777942938,16831353.196422
0.646777215,66.67851317754,17090440.267494
0.656777215,64.7012162881,17349537.708527
0.666777215,62.810520771795,17608645.10503
0.676777215,61.001445678784,17867762.06297
0.686777215,59.269362860971,18126888.207567
0.696777215,57.609967422124,18386023.182143
0.706777215,56.019251012168,18645166.647086
0.716777215,54.493477660096,18904318.278831
0.726777215,53.029161873622,19163477.768966
0.736777215,51.623048763107,19422644.823365
0.746777215,50.272095983064,19681819.161386
0.756777215,48.97345729916,19941000.515138
0.766777215,47.724467619701,20200188.628766
0.776777215,46.522629342424,20459383.257795
0.786777215,45.365599885082,20718584.168534
0.796777215,44.251180287497,20977791.137489
0.806777215,43.177304777295,21237003.950835
0.816777215,42.142031210092,21496222.403902
0.826777215,41.143532299975,21755446.300708
0.836777215,40.180087567266,22014675.453506
0.846777215,39.250075936624,22273909.682385
0.856777215,38.351968926979,22533148.81485
0.866777215,37.484324378913,22792392.685473
0.876777215,36.645780672672,23051641.135535
0.886777215,35.835051392288,23310894.012707
0.896777215,35.05092039787,23570151.170725
0.906777215,34.292237270049,23829412.469122
0.916777215,33.557913167452,24088677.726743
0.926777215,32.84691661624,24347946.911551
0.936777215,32.158270398945,24607219.846494
0.946777215,31.491047809393,24866496.411776
0.956777215,30.844369672223,25125776.492121
0.966777215,30.217401436022,25385059.976577
0.976777215,29.609350483943,25644346.758322
0.986777215,29.019463571248,25903636.727828
0.996777215,28.447024795759,26162929.800683
1.006777215,27.891352822227,26422225.873076
1.016777215,27.351799466936,26681524.853028
1.026777215,26.827747501954,26940826.651848
1.036777215,26.318608915679,27200131.183883
1.046777215,25.823823453516,27459438.366786
1.056777215,25.342856765331,27718748.127423
1.066777215,24.875199031318,27978060.373148
1.076777215,24.420364024029,28237375.039635
1.086777215,23.977887299995,28496692.055134
1.096777215,23.547325299165,28756011.350364
1.106777215,23.128254178585,29015332.858411
1.116,22.751589789008,29254501.340616

