Left[keV]  right[keV]  median[keV]  Prop  Variance
0.0794 0.1259 0.1000 0.0 0.0
0.1259 0.1995 0.1585 0.107656988431 3.55834003847e-08
0.1995 0.3162 0.2512 0.136997276434 4.37922735921e-08
0.3162 0.5012 0.3981 0.123982829642 4.02297706196e-08
0.5012 0.7943 0.6310 0.11125766686 3.66251329001e-08
0.7943 1.2589 1.0000 0.0986739976642 3.29426109601e-08
1.2589 1.9953 1.5849 0.0864585081168 2.9255626867e-08
1.9953 3.1623 2.5119 0.0749312255974 2.56749881297e-08
3.1623 5.0119 3.9811 0.0640054760241 2.21903337148e-08
5.0119 7.9433 6.3096 0.0535064296242 1.87584536355e-08
7.9433 12.5893 10.0000 0.0435440958097 1.54265077974e-08
12.5893 19.9526 15.8489 0.0346359262589 1.23848665834e-08
19.9526 31.6228 25.1189 0.0263063247263 9.48759023668e-09
31.6228 50.1187 39.8107 0.018813461448 6.83744243168e-09
50.1187 79.4328 63.0957 0.012243269702 4.47940992321e-09
79.4328 125.8925 100.0000 0.00622349541757 2.2908491513e-09
125.8925 199.5262 158.4893 0.000763028244268 2.82411581201e-10
199.5262 316.2278 251.1886 0.0 0.0
