time,FluxChecker-I,FluxChecker-V
0,0,0
1e-09,1.2553454643865,0.57514385925611
3e-09,3.7660325651093,1.7254316050363
7e-09,8.7873916877086,4.0260071010105
1.5e-08,18.830050238361,8.6271581549301
3.1e-08,38.915123307518,17.829459760585
6.3e-08,79.084296529086,36.234063179681
1.27e-07,159.41877125815,73.043270090004
2.55e-07,320.07222622062,146.66166626603
5.11e-07,641.31707632611,293.89849347714
1.023e-06,1283.5586895374,588.37214176517
2.047e-06,2567.0493218217,1177.3193401539
4.095e-06,5130.0501978706,2355.2121675909
8.191e-06,10239.923224624,4710.9727907754
1.6383e-05,20391.5169149,9422.0962750482
3.2767e-05,40363.24856451,18838.078783889
6.5535e-05,78123.387432586,37574.272069332
0.000131071,136382.18156797,73762.206971121
0.000262143,175819.17682971,135207.93906311
0.000524287,162760.14088235,217436.55633289
0.001048575,133396.14625569,313278.87275509
0.002097151,106221.85970489,428247.57123608
0.004194303,77335.147155149,584103.95366568
0.008388607,46446.90158235,832448.23011262
0.013388607,28493.514978354,1103615.0711776
0.018388607,19267.89479264,1362279.9411765
0.023388607,13942.645220154,1613281.6752607
0.028388607,10584.943165691,1859253.8986831
0.033388607,8325.8951482288,2101733.1435013
0.038388607,6729.7198796085,2341675.6763551
0.043388607,5558.0969948021,2579709.2154131
0.048388607,4671.5068532435,2816264.0432603
0.053388607,3983.6967669821,3051645.7974769
0.058388607,3438.9230577941,3286078.1321955
0.063388607,2999.807956184,3519728.8885841
0.068388607,2640.4989915901,3752726.7739936
0.073388607,2342.6354649534,3985172.3518996
0.078388607,2092.8758267484,4217145.4928092
0.083388607,1881.3303104455,4448710.5532027
0.088388607,1700.5380212957,4679920.0564258
0.093388607,1544.7820656589,4910817.3604054
0.098388607,1409.620508836,5141438.6255377
0.103388607,1291.5586009633,5371814.2895494
0.108388607,1187.8155410861,5601970.1884349
0.113388607,1096.1557805728,5831928.4203203
0.118388607,1014.7651878144,6061708.0183224
0.123388607,942.15890969968,6291325.4808252
0.128388607,877.11196576051,6520795.1935717
0.133388607,818.60637052647,6750129.7685251
0.138388607,765.79042469445,6979340.3183873
0.143388607,717.94707053035,7208436.6808335
0.148388607,674.46907180317,7437427.6028002
0.153388607,634.83938338257,7666320.893062
0.158388607,598.61550414511,7895123.5494601
0.163388607,565.41691397419,8123841.8655518
0.168388607,534.914917995,8352481.5204571
0.173388607,506.82438401157,8581047.6549898
0.178388607,480.89697975194,8809544.9365504
0.183388607,456.91560608104,9037977.6146412
0.188388607,434.68979015032,9266349.568505
0.193388607,414.05185351253,9494664.3483117
0.198388607,394.85370954542,9722925.2107805
0.203388607,376.96417458515,9951135.1502253
0.208388607,360.26670062262,10179296.925604
0.213388607,344.6574555443,10407413.084122
0.218388607,330.04369126972,10635485.982184
0.223388607,316.34235145017,10863517.80366
0.228388607,303.47887927711,11091510.576088
0.233388607,291.38619316091,11319466.185082
0.238388607,280.00380379287,11547386.387065
0.243388607,269.27705065517,11775272.820676
0.248388607,259.15643987958,12003127.016907
0.253388607,249.59706832022,12230950.408215
0.258388607,240.55812124742,12458744.336684
0.263388607,232.00243308662,12686510.061383
0.268388607,223.89610230762,12914248.764966
0.273388607,216.20815295959,13141961.559649
0.278388607,208.910236503,13369649.492614
0.283388607,201.97636853122,13597313.550938
0.288388607,195.38269580704,13824954.666029
0.293388607,189.10728966536,14052573.717669
0.298388607,183.12996243268,14280171.537715
0.303388607,177.43210398549,14507748.913474
0.308388607,171.99653593892,14735306.590769
0.313388607,166.80738133986,14962845.276776
0.318388607,161.84994800177,15190365.642602
0.323388607,157.11062386994,15417868.325666
0.328388607,152.57678302388,15645353.931879
0.333388607,148.23670108912,15872823.037662
0.338388607,144.0794790073,16100276.191797
0.343388607,140.09497422591,16327713.917137
0.348388607,136.2737384921,16555136.712193
0.353388607,132.60696154271,16782545.05259
0.358388607,129.08642005079,17009939.392457
0.363388607,125.70443128328,17237320.165636
0.368388607,122.45381097206,17464687.786884
0.373388607,119.32783497123,17692042.652948
0.378388607,116.32020431311,17919385.143591
0.383388607,113.42501332436,18146715.622501
0.388388607,110.63672049842,18374034.438203
0.393388607,107.95012185619,18601341.924864
0.398388607,105.36032655515,18828638.40305
0.403388607,102.86273452929,19055924.180453
0.408388607,100.45301597403,19283199.55256
0.413388607,98.127092499022,19510464.803268
0.418388607,95.881119799207,19737720.205481
0.423388607,93.711471710219,19964966.049533
0.428388607,91.61472532924,20192202.530665
0.433388607,89.587648136248,20419429.921335
0.438388607,87.627184484945,20646648.455722
0.443388607,85.730444713506,20873858.35943
0.448388607,83.894694284759,21101059.849882
0.453388607,82.117343893385,21328253.136725
0.458388607,80.395940301559,21555438.422179
0.463388607,78.728157841893,21782615.901395
0.468388607,77.111790534559,22009785.762759
0.473388607,75.544744766062,22236948.188213
0.478388607,74.025032486235,22464103.353529
0.483388607,72.550764881222,22691251.428588
0.488388607,71.120146484187,22918392.577629
0.493388607,69.731469690594,23145526.959499
0.498388607,68.383109572627,23372654.72957
0.503388607,67.073519504904,23599776.031904
0.508388607,65.801225867622,23826891.013629
0.513388607,64.564824791472,24053999.814167
0.518388607,63.362977794318,24281102.568582
0.523388607,62.19440824827,24508199.407757
0.528388607,61.057897979072,24735290.458557
0.533388607,59.952284248346,24962375.829935
0.538388607,58.876455977086,25189455.670155
0.543388607,57.82935245219,25416530.079985
0.548388607,56.809959247155,25643599.194342
0.553388607,55.817306557498,25870663.074669
0.558,54.92470547044,26080074.888862

