time,FluxChecker-I,FluxChecker-V,SIADensity,Swelling
0,0,0,0,0
1e-09,0.45122657189686,0.002326882106316,0.071024284500541,9.9341918708813e-12
3e-09,1.348663049256,0.00078457150402095,0.21255573264541,2.9704522655002e-11
7e-09,3.1457329790437,0.00033580535867658,0.49581034120196,6.9286895892566e-11
1.5e-08,6.7404414989708,0.00015668333605146,1.0623738330505,1.4846300472462e-10
3.1e-08,13.929986697557,7.5812657907925e-05,2.1955178498878,3.0681955749794e-10
6.3e-08,28.308765660764,3.7305020514049e-05,4.4617961897651,6.2353417015135e-10
1.27e-07,57.064482152314,1.8506364684673e-05,8.9943345517225,1.2569607324838e-09
2.55e-07,114.5662975134,9.2178449383441e-06,18.059834415825,2.5237854809161e-09
5.11e-07,229.51453049975,4.6012437695559e-06,36.196695535066,5.0572040876647e-09
1.023e-06,459.05495724316,2.3004891357496e-06,72.527147345675,1.0122192100472e-08
2.047e-06,915.64919487492,1.1533440818649e-06,145.67643686602,2.0237419181968e-08
4.095e-06,1810.756061538,5.8324496839663e-07,295.87996982461,4.0351443343751e-08
8.191e-06,3473.4312818442,3.0412780176825e-07,623.73532037659,7.9693651548755e-08
1.6383e-05,6055.431692168,1.7457869443311e-07,1409.0974998258,1.5241582556167e-07
3.2767e-05,8579.6947372199,1.2334467466168e-07,3077.0431822609,2.6850704246165e-07
6.5535e-05,9464.4080498463,1.1225096937228e-07,5078.355959648,4.159608484252e-07
0.000131071,8895.5289926524,1.2278833134507e-07,5919.8163602181,5.7839379895679e-07
0.000262143,7777.3283364111,1.5008980349212e-07,5361.981879171,7.7696321738179e-07
0.000524287,6290.4606595047,2.0178148401105e-07,4267.1514265522,1.086475157713e-06
0.001048575,4483.856078781,3.0282550316382e-07,3588.8609445395,1.6596673156465e-06
0.002097151,2834.6765004045,4.9663721679416e-07,3746.1716591392,2.7490420389782e-06
0.004194303,1656.3424720457,8.6317118382639e-07,4886.4888756188,4.8093264613007e-06
0.008388607,919.69531662921,1.5640200633965e-06,7568.4051801556,8.7493135776498e-06
0.016777215,492.76236041495,2.9259296269449e-06,13142.510047122,1.6404822219855e-05
0.026777215,318.47747396491,4.5302858958607e-06,19851.240537534,2.5422086806715e-05
0.036777215,235.60010829068,6.1256125230809e-06,26576.50978694,3.4388172135418e-05
0.046777215,187.07118605938,7.7158006272596e-06,33307.708540092,4.332502869117e-05
0.056777215,155.17275794003,9.3027259014188e-06,40041.699555875,5.2243263955273e-05
0.066777215,132.59451528726,1.0887420977533e-05,46777.22886241,6.1148742491874e-05
0.076777215,115.76673366368,1.2470509842165e-05,53513.684869966,7.0045017265127e-05
0.086777215,102.73781989851,1.4052396592407e-05,60250.766672662,7.8934391578545e-05
0.096777215,92.350279205334,1.5633355588802e-05,66988.266325734,8.7818433238828e-05
0.106777215,83.873881829936,1.7213580777456e-05,73726.067115578,9.6698251994787e-05
