time,FluxChecker-I,FluxChecker-V
0,0,0
1e-09,0.77748525996203,0.39457393351905
3e-09,2.3324534548111,1.1837218080303
7e-09,5.4423804900526,2.7620175063154
1.5e-08,11.662196568175,5.9186090363653
3.1e-08,24.101678026891,12.231791356447
6.3e-08,48.980042579587,24.858157737892
1.27e-07,98.734364943126,50.110891287332
2.55e-07,198.23341661345,100.61635470357
5.11e-07,397.19310218919,201.62730285474
1.023e-06,794.95885851861,403.64915454751
2.047e-06,1589.876114236,807.69282986631
4.095e-06,3177.2533258777,1615.7797319005
8.191e-06,6342.1443241664,3231.9463799454
1.6383e-05,12631.698818842,6464.1659321321
3.2767e-05,25036.133769254,12926.810712443
6.5535e-05,48931.160292151,25824.351013752
0.000131071,90403.3472501,51220.596312742
0.000262143,135539.55787387,97704.694238168
0.000524287,141874.72656544,167105.85888144
0.001048575,119622.1258492,250849.36403055
0.002097151,96650.043290928,347845.92977187
0.004194303,74107.660919322,471023.81442658
0.008388607,48734.915838902,654308.68805874
0.016777215,25444.238345679,965235.18199419
0.026777215,14250.330576272,1314747.9277725
0.036777215,9097.6737705313,1655796.7322438
0.046777215,6312.3460251362,1992862.635992
0.056777215,4636.521724547,2327950.6803018
0.066777215,3549.6651671744,2662030.0806365
0.076777215,2804.6082408046,2995599.7452388
0.086777215,2271.6041484308,3328928.4280431
0.096777215,1877.1633843358,3662165.1565771
0.106777215,1577.1032141054,3995393.743344
0.116777215,1343.5530252994,4328661.1632537
0.126777215,1158.2221426558,4661993.0364539
0.136777215,1008.7017780524,4995402.3773465
0.146777215,886.33224121486,5328894.6866788
0.156777215,784.92116898611,5662470.9838532
0.166777215,699.94551402221,5996129.6476186
0.176777215,628.03926576122,6329867.5471037
0.186777215,566.6556524835,6663680.7430949
0.196777215,513.83905250918,6997564.9227331
0.206777215,468.06769761738,7331515.6692852
0.216777215,428.14312442705,7665528.6254429
0.226777215,393.11114331756,7999599.5906669
0.236777215,362.20445821987,8333724.5752916
0.246777215,334.8004148792,8667899.8271324
0.256777215,310.38948530104,9002121.8412006
0.266777215,288.55148018575,9336387.3584159
0.276777215,268.93739753671,9670693.3575285
0.286777215,251.25543143437,10005037.043505
0.296777215,235.26008614052,10339415.833975
0.306777215,220.74363218707,10673827.34459
0.316777215,207.52934598918,11008269.374659
0.326777215,195.46611988295,11342739.892744
0.336777215,184.424134127,11677237.023297
0.346777215,174.29135835309,12011759.033933
0.356777215,164.97070569952,12346304.323601
0.366777215,156.37770408314,12680871.411488
0.376777215,148.43858001166,13015458.927215
0.386777215,141.0886734564,13350065.6014
0.396777215,134.27112002067,13684690.257311
0.406777215,127.93575013564,14019331.803156
0.416777215,122.03816536632,14353989.225078
0.426777215,116.53896000261,14688661.580715
0.436777215,111.40306241746,15023347.993465
0.446777215,106.59917557281,15358047.647088
0.456777215,102.09929999058,15692759.780897
0.466777215,97.878325584026,16027483.685404
0.476777215,93.913681217835,16362218.698279
0.486777215,90.185032864308,16696964.200667
0.496777215,86.674022793953,17031719.613887
0.506777215,83.364043555436,17366484.396417
0.516777215,80.240041536633,17701258.040993
0.526777215,77.288345772065,18036040.072155
0.536777215,74.496518344296,18370830.043884
0.546777215,71.853223339676,18705627.537472
0.556777215,69.348111754334,19040432.159549
0.566777215,66.971720187388,19375243.540287
0.576777215,64.715381457655,19710061.331762
0.586777215,62.57114556425,20044885.20641
0.596777215,60.531709658759,20379714.855643
0.606777215,58.590355854162,20714549.988552
0.616777215,56.74089590342,21049390.33073
0.626777215,54.977621880475,21384235.623167
0.636777215,53.295262138844,21719085.621247
0.646777215,51.688941908119,22053940.093775
0.656777215,50.154147980203,22388798.822173
0.666777215,48.686697007167,22723661.599637
0.676777215,47.282706994438,23058528.230412
0.686777215,45.93857162713,23393398.529062
0.696777215,44.650937110912,23728272.319917
0.706777215,43.416681252235,24063149.436389
0.716777215,42.232894531587,24398029.720472
0.726777215,41.096862956649,24732913.022203
0.736777215,40.006052507276,25067799.199213
0.746777215,38.95809500417,25402688.116254
0.756777215,37.950775255796,25737579.644799
0.766777215,36.982019352102,26072473.662651
0.776777215,36.04988398997,26407370.053579
0.786777215,35.152546727523,26742268.706989
0.796777215,34.288297076791,27077169.517592
0.806777215,33.45552835229,27412072.385131
0.816777215,32.652730203856,27746977.214089
0.826777215,31.878481768656,28081883.913437
0.836777215,31.131445384251,28416792.396384
0.846777215,30.410360811049,28751702.580152
0.856777215,29.714039917347,29086614.385779
0.865,29.159231500037,29362006.217668

