time,FluxChecker-I,FluxChecker-V,SIADensity
0,0,0,0
1e-09,0.62767273197674,0.28757192686464,0.070350123556319
3e-09,1.8830162928637,0.86271577669272,0.21105023188501
7e-09,4.3936957882333,2.0130035433169,0.49244987038833
1.5e-08,9.4150245430709,4.3135790349368,1.0552468704414
3.1e-08,19.457561434137,8.9147298799625,2.1808316670835
6.3e-08,39.542154768543,18.117031294495,4.4319647577951
1.27e-07,79.70939062186,36.521634097769,8.9340846397923
2.55e-07,160.0361107548,73.330841006371,17.937738735304
5.11e-07,320.65853806215,146.94925477568,35.942705635746
1.023e-06,641.77938081085,294.18608154636,71.943279774872
2.047e-06,1283.5252751253,588.65972279564,143.90705763459
4.095e-06,2565.034940114,1177.6068088295,287.68606271494
8.191e-06,5120.11815691,2355.4978470795,574.66340617709
1.6383e-05,10198.230377185,4711.2301139859,1146.4986911796
3.2767e-05,20219.984757122,9421.9087197173,2284.7577350047
6.5535e-05,39622.399432392,18831.078329533,4584.288953125
0.000131071,74484.092741409,37470.616185398,9825.8949122964
0.000262143,119267.46045604,72628.311458218,25665.106376807
0.000524287,135755.74765482,128745.46208844,59399.210358747
0.001048575,118483.81610796,199508.38281793,79945.567955888
0.002097151,97292.996118833,280099.95568493,70485.503246173
0.004194303,78302.545610786,375825.40266596,49130.523779107
0.008388607,57815.416927152,501631.59348486,30969.048156646
0.016777215,37227.845697614,681872.12177717,21245.17729579
0.033554431,20861.806803653,954204.1024312,18127.58466819
0.067108863,10208.522688672,1393856.6024516,19207.430123851
0.0939524086,6777.6567920713,1719909.6060366,21138.33171768
0.1207959542,4884.0829738158,2031411.3233714,23314.722772644
0.1744830454,2940.3090629554,2624384.8810341,27924.763499475
0.21743271836,2126.2910817637,3088835.8250766,31714.625604585
0.26038239132,1614.2260898086,3546909.246643,35543.502714003
0.34628173724,1027.6351985849,4447949.3124018,43254.670123542
0.415001213976,763.02225457785,5163185.5237839,49449.745386878
0.483720690712,589.60136661356,5874589.1928819,55656.08254643
0.621159644184,383.28156086445,7287609.2703426,68085.408236244
0.7311108069616,287.57650428838,8414142.3752052,78037.540815173
0.8410619697392,223.83501582067,9537901.1290571,87993.589394287
1.0609642952944,146.81599140211,11777986.870343,107911.58995678
1.2368861557386,110.66058795731,13566967.678938,123848.95977078
1.4128080161827,86.410279727471,15353683.839775,139788.06561337
1.764651737071,56.905232344858,18920896.112735,171668.4288714
2.264651737071,35.422552612651,23982674.494102,216975.78964543
2.764651737071,24.160826262292,29039830.688221,262284.540948
3.264651737071,17.529293023581,34093871.684686,307593.79405208
3.764651737071,13.297252561505,39145676.515631,352902.7180139
4.264651737071,10.432217897308,44195815.038343,398212.9233757
4.764651737071,8.4028772689623,49244661.006523,443523.20518592
5.264651737071,6.9131009587203,54292479.044581,488833.0612225
5.764651737071,5.7872173439006,59339466.259598,534143.54267257
6.264651737071,4.9156545743682,64385765.256278,579453.44417599
6.764651737071,4.2271875437016,69431488.062467,624763.29243919
7.264651737071,3.673890634265,74476722.857323,670073.17898229
7.764651737071,3.2225544069694,79521539.53654,715383.00088801
8.264651737071,2.8495772689832,84565995.021266,760692.8810675
8.764651737071,2.5378127005063,89610136.072976,806002.84392728
9.264651737071,2.2745607370269,94654001.102818,851312.81569613
9.764651737071,2.0502525456,99697622.019288,896622.49341017
10.264651737071,1.8575675561673,104741025.73764,941932.4709583
10.764651737071,1.6908281114091,109784236.09209,987242.45280456
11.264651737071,1.5455760386458,114827272.85232,1032552.4074217
11.764651737071,1.4182712657367,119870153.10693,1077862.368001
12.264651737071,1.3060739211051,124912891.76651,1123172.349241
12.764651737071,1.2066844706829,129955501.80108,1168482.3404132
13.264651737071,1.1182248571884,134997994.67002,1213792.3364584
13.764651737071,1.0391491026352,140040380.27105,1259102.327618
14.264651737071,0.96817522358161,145082667.61747,1304412.3197588
14.764651737071,0.90423293954499,150124864.63234,1349722.3128645
15.264651737071,0.84642305746023,155166978.21596,1395032.3064434
15.764651737071,0.79398566691795,160209014.8306,1440342.3007673
