time,FluxChecker-I,FluxChecker-V,SIADensity
51.4932111862,0.013706202188615,1167571578.7641,47379830.476008
51.9932111862,0.013443970275566,1178903661.6043,47839672.475982
52.4932111862,0.013189192709961,1190235742.5049,48299514.475961
52.9932111862,0.012941589609123,1201567821.5041,48759356.475933
53.4932111862,0.012700894103553,1212899898.6479,49219198.475913
53.9932111862,0.012466851619556,1224231973.9726,49679040.475881
54.4932111862,0.012239219202219,1235564047.516,50138882.475854
54.9932111862,0.012017764887581,1246896119.3224,50598724.475826
55.4932111862,0.011802267109567,1258228189.4244,51058566.475798
55.9932111862,0.011592514146985,1269560257.8552,51518408.475767
56.4932111862,0.011388303602223,1280892324.6589,51978250.475749
56.9932111862,0.011189441914008,1292224389.8663,52438092.475733
57.4932111862,0.010995743896215,1303556453.5037,52897934.475705
57.9932111862,0.010807032309913,1314888515.6045,53357776.475677
58.4932111862,0.010623137455117,1326220576.2024,53817618.475658
58.9932111862,0.010443896789826,1337552635.3254,54277460.475638
59.4932111862,0.010269154571358,1348884693.004,54737302.475631
59.9932111862,0.010098761517461,1360216749.2669,55197144.47562
60.4932111862,0.0099325744868159,1371548804.139,55656986.475593
60.9932111862,0.009770456180393,1382880857.6509,56116828.475572
61.4932111862,0.0096122748542044,1394212909.8271,56576670.47555
61.9932111862,0.0094579040549432,1405544960.697,57036512.47553
62.4932111862,0.0093072223659245,1416877010.2776,57496354.475515
62.9932111862,0.0091601131674792,1428209058.5997,57956196.475504
63.4932111862,0.0090164644125537,1439541105.6826,58416038.475501
63.9932111862,0.0088761684124453,1450873151.5541,58875880.475475
64.4932111862,0.0087391216355072,1462205196.2329,59335722.475443
64.9932111862,0.0086052245152097,1473537239.7424,59795564.475426
65.4932111862,0.0084743812703559,1484869282.1011,60255406.475412
65.9932111862,0.0083464997327627,1496201323.3319,60715248.475399
66.4932111862,0.0082214911853892,1507533363.4534,61175090.475385
66.9932111862,0.0080992702085313,1518865402.4892,61634932.475364
67.4932111862,0.0079797545337311,1530197440.4563,62094774.475357
67.9932111862,0.0078628649049798,1541529477.3733,62554616.475346
68.4932111862,0.0077485249476765,1552861513.2576,63014458.475336
68.9932111862,0.0076366610436947,1564193548.1296,63474300.47532
69.4932111862,0.0075272022130322,1575525582.004,63934142.47531
69.9932111862,0.0074200800010071,1586857614.8983,64393984.475286
70.4932111862,0.0073152283710316,1598189646.8311,64853826.475276
70.9932111862,0.0072125836032566,1609521677.8182,65313668.47526
71.4932111862,0.0071120841971265,1620853707.8748,65773510.475253
71.9932111862,0.0070136707802075,1632185737.0166,66233352.475227
72.4932111862,0.0069172860192282,1643517765.2578,66693194.475211
72.9932111862,0.0068228745375855,1654849792.6126,67153036.475203
73.4932111862,0.0067303828354439,1666181819.1008,67612878.475206
73.9932111862,0.0066397592135207,1677513844.7329,68072720.475205
74.4932111862,0.0065509537018544,1688845869.519,68532562.475187
74.9932111862,0.006463917989317,1700177893.4764,68992404.475173
75.4932111862,0.0063786053595093,1711509916.62,69452246.475162
75.9932111862,0.0062949706272757,1722841938.9606,69912088.475157
76.4932111862,0.0062129700788288,1734173960.5091,70371930.475163
76.9932111862,0.0061325614147701,1745505981.2829,70831772.475159
77.4932111862,0.0060537036955788,1756838001.2903,71291614.475156
77.9932111862,0.0059763572891661,1768170020.5439,71751456.475143
78.4932111862,0.005900483821617,1779502039.0555,72211298.475134
78.9932111862,0.0058260461291594,1790834056.8374,72671140.475118
79.4932111862,0.0057530082126988,1802166073.9001,73130982.475122
79.9932111862,0.0056813351946765,1813498090.2534,73590824.475115
80,0.0056803712799488,1813651952.1452,73597068.038567

